listing_id,artist,title,label,catalog_number,year,format,format_details,media_condition,sleeve_condition,price,status,ships_from,comments
3747978109,Lionel Hampton Et Son Sextette*,The Great Lionel Hampton,"Musidisc, Musidisc","30 CV 1064, CV 1064",0,"LP, RE",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 2.03,For Sale,United Kingdom,TOP COPY !
3747978190,Living Voices conducted by Anita Kerr,Christmas Sleigh Ride,Reader's Digest,RDS 7081,1973,LP,,Near Mint (NM or M-),Near Mint (NM or M-),GBP 1.42,For Sale,United Kingdom,
3747978127,Lionel Richie,"Say You, Say Me","Motown, Motown","ZB40421, ZB 40421",1985,"7"", Single, Sol",,Very Good Plus (VG+),Very Good (VG),GBP 0.75,For Sale,United Kingdom,SIDE ONE IS NM. SIDE TWO IS NM-. 
3747978178,Little Richard And His Band,Lucille,London Records,45-HLO 8446,1957,"7"", Single, Tri",,Very Good (VG),Generic,GBP 5.08,For Sale,United Kingdom,SIDE ONE IS VISUALLY VG. SIDE TWO VG+. CLEAN LABELS . PLAIN SLEEVE.
3747978163,Little Milton,Hittin' The Boogie (Memphis Days 1953-1954),"Zu-Zazz Records, Zu-Zazz Records","Z 2007, Z-2007",1988,"LP, Comp",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 4.18,For Sale,United Kingdom,LOOKS UNPLAYED !
3747978133,Liquid Gold,Substitute,POLO,POLO 4,1980,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.58,For Sale,United Kingdom,LIGHT WEAR ONLY - PLAYS EXCELLENT - CLEAN LABELS - PLAIN SLEEVE.
3747978112,Lionel Richie,Can't Slow Down,"Motown, Motown, Motown, Motown","ZL 72020, ZL72020, 6059 ML, STMA 8041",0,"LP, Album, RE, Gat",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 3.0,For Sale,United Kingdom,VG+ INNER. HYPE STICKER.
3747978214,Loggins And Messina,The Best Of,"CBS, Embassy",S CBS 31826,1980,"LP, Comp",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 4.1,For Sale,United Kingdom,NM- SLEEVE (WEAR TO ONE CORNER POINT ONLY)
3747978124,Lionel Richie,Running With The Night (Special Remix),Motown,TMG 1324,1983,"7"", Single, Sol",,Very Good (VG),Very Good (VG),GBP 0.75,For Sale,United Kingdom,PLAYS EXCELLENT. 
3747978106,Lionel Hampton And His New French Sound*,"Lionel Hampton And His New French Sound, Volume 2",Felsted,PDL 85006,0,"LP, Mono",,Very Good Plus (VG+),Very Good (VG),GBP 2.03,For Sale,United Kingdom,small tear on fr sl + tape on lip
3747978115,Lionel Richie,Can't Slow Down,"Motown, Motown, Motown, Motown","ZL 72020, ZL72020, 6059 ML, STMA 8041",0,"LP, Album, RE, Gat",,Very Good Plus (VG+),Near Mint (NM or M-),GBP 3.99,For Sale,United Kingdom,NM INNER. VG++ VINYL. A1 B1 PRESSING.
3747978205,Lobo (3),I'd Love You To Want Me,UK Records,UK R 68,1974,"7"", Single, RE, 4 p",,Near Mint (NM or M-),Generic,GBP 3.31,For Sale,United Kingdom,FROM A MINT COLLECTION OF 60'S &amp; 70'S SINGLES WERE ARE LISTING THIS AUTUMN (2024). CLEAN LABELS. NM COMPANY/BIRTH SLEEVE. BEST ON DISCOGS FOR THIS VARIANT.
3747978169,Little Richard,Little Richard's Greatest Hits Recorded Live,CBS,S 31504,1977,"LP, Album, RE",,Near Mint (NM or M-),Very Good Plus (VG+),GBP 4.18,For Sale,United Kingdom,LOOKS UNPLAYED !
3747978208,The Locomotive*,Rudi's In Love,Parlophone,R 5718,1968,"7"", Single, 4-P",,Near Mint (NM or M-),Generic,GBP 9.99,For Sale,United Kingdom,FROM A MINT COLLECTION OF 60'S &amp; 70'S SINGLES WERE ARE LISTING THIS AUTUMN (2024). CLEAN LABELS. NM COMPANY/BIRTH SLEEVE.
3747978160,Little Eva,Let's Turkey Trot / Old Smokey Locomotion,"London Records, London American Recordings",HLU 9687,1963,"7""",,Near Mint (NM or M-),Generic,GBP 0.95,For Sale,United Kingdom,JUKEBOX CENTRE - CLEAN LABELS - PLAIN SLEEVE -  A MOD CLASSIC - BOOKS AT £12
3747978157,David Wilkins*,Put A Little Loving On Me,Charly Records,CS 1003,1975,"7"", Single",,Very Good Plus (VG+),Generic,GBP 0.63,For Sale,United Kingdom,
3747978130,Lipps Inc.*,Funkytown,Casablanca,CAN 194,1980,"7"", Single, Sol",,Very Good Plus (VG+),Generic,GBP 1.13,For Sale,United Kingdom,CLEAN LABELS - PLAIN SLEEVE
3747978142,Lisa Stansfield,All Around The World,Arista,112 693,1989,"7"", Single, Pap",,Very Good Plus (VG+),Very Good (VG),GBP 1.09,For Sale,United Kingdom,SIDE ONE IS NM. SIDE TWO IS VG++.  
3747978184,Living Brass & Living Marimbas,Play Songs Made Famous By Herb Alpert,RCA Camden,CDS 1058,1970,LP,,Near Mint (NM or M-),Near Mint (NM or M-),GBP 3.0,For Sale,United Kingdom,
